,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken
213,192,Race,Malay,majority malays are in private sectors.,0,"['majority', 'private', 'sector']"
214,193,Race,Malay,"I think there is a lot of misconception about ""only Chinese / mandarin requirement""....Obviously there is a purpose for hiring such ppl because of the company background that people don't see in dealing with some Chinese ppl like China, HK and etc that only read/speak in Chinese, It also part of the process for the company to run smoothly in the deal, If a Malay is capable in speaking or writing Chinese then I think the company will not have a problem hiring them...same goes for company that hires ""only Japanese requirement"" or sort of other language too",0,"['think', 'lot', 'misconception', 'chinese', 'requirement', 'obviously', 'purpose', 'hire', 'company', 'background', 'people', 'see', 'deal', 'chinese', 'also', 'part', 'process', 'company', 'run', 'smoothly', 'deal', 'malay', 'capable', 'speak', 'write', 'chinese', 'think', 'company', 'problem', 'hiring', 'go', 'company', 'fire', 'japanese', 'requirement', 'language']"
215,194,Race,Multiple,Not able to speak fluent Melayu doesn't them less Malaysian than others,0,"['unable', 'speak', 'client', 'delay', 'less', 'malaysian', 'other']"
216,196,Race,Chinese,"I overheard something about PAS needs to be in power in order to topple some sort of secret syndicate granting citizenship to Chinese people from China, which operates in Pulau Pinang lol.",0,"['overhear', 'need', 'power', 'order', 'couple', 'sort', 'secret', 'indicate', 'grant', 'citizenship', 'chinese', 'people', 'operate', 'dining']"
217,197,Race,Chinese,There is a secret syndicate granting citizenship to Chinese people from China so they can replace us,1,"['indicate', 'grant', 'citizenship', 'chinese', 'people', 'replace']"
218,198,Race,Multiple,The Jews have all the money The white have all the power All I have is wife who no take shower,0,"['news', 'money', 'power', 'wife', 'take', 'shower']"
219,200,Religion,Multiple,Non believers usually ends up in extreme poverty.. Really got no time for those.,1,"['believe', 'usually', 'end', 'extreme', 'poverty', 'really', 'get', 'time']"
220,200,Religion,Multiple,Just let them be.,1,['let']
221,202,Race,Malay,Malays cannot compete in private sector.,1,"['always', 'compete', 'private', 'sector']"
222,203,Race,Chinese,"Chinese get significant more callbacks for interviews by the private sector, Chinese and foreign MNCS.",0,"['get', 'significant', 'callback', 'interview', 'private', 'sector', 'mnc']"
223,203,Race,Chinese,Even Malays cos also to a lesser degree which was the shocker.,0,"['even', 'always', 'also', 'less', 'degree', 'shock']"
224,203,Race,Chinese,Not sure if you can read it from Google Scholar now,0,"['read', 'scholar']"
225,204,Race,Multiple,Funny that he himself made the stereotype that non malays do not want to join civil service.,0,"['funny', 'make', 'stereotyped', 'non', 'malay', 'want', 'join', 'civil', 'service']"
226,204,Race,Multiple,I myself had applied to the civil service a couple of times but couldn't get in.,0,"['apply', 'civil', 'service', 'couple', 'time', 'get']"
227,207,Religion,Islam, my most recent exes decided to part ways with me after realising that they HAVE to convert to Islam in order for the marriage certificate here to be issued,0,"['recent', 'eye', 'decide', 'part', 'way', 'realise', 'order', 'marriage', 'certificate', 'issue']"
228,208,Race,Malay,Lots of Malays go to Canada or US and marry non Muslims,0,"['lot', 'always', 'go', 'marry', 'muslim']"
229,209,Religion,Islam,Malaysia never recognizes a foreign marriage between a muslim and a non-muslim unless the non converts.,0,"['never', 'recognize', 'foreign', 'marriage', 'non', 'convert']"
230,211,Religion,Islam,"All is fine and dandy now, but what if the religious zealots get a bit more aggresive?",0,"['fine', 'dandy', 'religious', 'zealous', 'get', 'bit', 'aggressive']"
231,211,Religion,Islam,What if Syariah law gets wild?,0,"['syariah', 'law', 'get', 'wild']"
232,211,Religion,Islam,"Are we ok with the potential that your daughters or granddaughters must always wear tudung, cannot be out unaccompanied by a trusted man, must attend Religious school instead of normal school?",0,"['ok', 'potential', 'daughter', 'granddaughter', 'always', 'wear', 'dung', 'differ', 'unaccompanied', 'trust', 'man', 'attend', 'religious', 'school', 'instead', 'normal', 'school']"
233,212,Religion,Islam,"The normal legal system is full of imperfections, but at least the Bar Council is or tries to be a loud advocate for everyone's' rights.",0,"['normal', 'legal', 'system', 'full', 'imperfection', 'least', 'council', 'try', 'loud', 'advocate', 'right']"
234,212,Religion,Islam,"However, there is no such voice in the Syariah law system.",0,"['however', 'syariah', 'law', 'system']"
235,212,Religion,Islam,Who is going to safeguard your daughter's rights?,0,"['go', 'safeguard', 'daughter', 'right']"
236,213,Race,Malay,most malay men tend to have an inferiority complex and self-hating for their own race,0,"['malay', 'man', 'tend', 'inferiority', 'complex', 'selfhating', 'race']"
237,214,Religion,Islam,Bro got the weakest advice to make someone stay in islam lol,0,"['get', 'nearest', 'advice', 'make', 'stay', 'slam']"
238,215,Race,Foreigner,we hate Israel not the jews.Get that thing straight.,0,"['hate', 'straight']"
239,216,Race,Unknown,Govt is racist towards this race.,0,"['differ', 'racism', 'race']"
240,217,Race,Foreigner,one of the reason we hate J,1,"['reason', 'hate', 'j']"
241,218,Race,Foreigner,We don't have any problems with Jew... At peneng also have Jew cemetery...but we do have problems with israel,0,"['problem', 'new', 'opening', 'also', 'new', 'cemetery', 'problem']"
242,219,Race,Malaysian,"All the Malays hating on him, when he actually said nice things about Malaysians.",0,"['always', 'hate', 'actually', 'say', 'nice', 'thing', 'malaysian']"
243,220,Race,Foreigner,"my answer to u.. yes.. i must hate the all entire jews.. not only because of my religious.. also about humanity.. thats why i told u, u must read the fact history about them",1,"['answer', 'hate', 'entire', 'religious', 'also', 'humanity', 'tell', 'read', 'fact', 'history']"
244,221,Religion,Christianity,"the christians are all is stuborn to worship the true god,even prophet are in between and amongs them..",1,"['christian', 'stubborn', 'worship', 'true', 'even', 'prophet']"
245,222,Race,Multiple,chauvinist malays or chinese or indians or whites or blacks or yellows or browns hate every race in this world including jews.,0,"['chinese', 'indian', 'white', 'black', 'yellow', 'brown', 'hate', 'race', 'world', 'include']"
246,223,Race,Foreigner,Been in israel for religious purposes ( back then ) and I can personally admit that the people whom I've meet along the way are warm and welcoming.,0,"['religious', 'purpose', 'back', 'personally', 'admit', 'people', 'meet', 'way', 'warm', 'welcoming']"
247,223,Race,Foreigner,"Well , idk about the rest of em , but I never encountered a problem there.",0,"['ink', 'rest', 'never', 'encounter', 'problem']"
248,223,Race,Foreigner,Well it is just my personal opinion.,0,"['personal', 'opinion']"
249,223,Race,Foreigner,Scroll pass if this hurts you in any form.,0,"['roll', 'hurt', 'form']"
250,224,Religion,Others,Zionism has nothing to do with religion.,0,"['unionism', 'religion']"
251,224,Religion,Others,"I believe Muslims and jews have long history of friendship especially during under the rule of caliphate and such, the jerusalem and stuff.",0,"['believe', 'long', 'history', 'friendship', 'especially', 'rule', 'caliphate', 'stuff']"
252,224,Religion,Others,Christians have more brutal and unforgiving history with the jews but nowadays it's like somewhat forgotten cause the jews are clever to manipulate media and stuff.,0,"['brutal', 'forgiving', 'history', 'nowadays', 'somewhat', 'forget', 'cause', 'clever', 'manipulate', 'medium', 'stuff']"
253,224,Religion,Others,The term anti-semitism was coined by them to inject guilt into people who are dared to condemn Zionist.,0,"['term', 'antisemitism', 'join', 'inject', 'guilt', 'people', 'dare', 'condemn', 'unionist']"
254,224,Religion,Others,"If you don't know what is Zionism, do a little research",0,"['know', 'unionism', 'little', 'research']"
255,225,Race,Foreigner,We also not against any Israeli.. We just don't like Israel government which also got issue with their own people..,0,"['also', 'government', 'also', 'get', 'issue', 'people']"
256,228,Race,Malay,keep living in a cave and pass in down yr own bloodline.,1,"['keep', 'live', 'cave', 'pass', 'bloodline']"
257,228,Race,Malay,Don't infect others,1,"['infect', 'other']"
258,229,Race,Malaysian,"that's fair, at least you're an honest one.",1,"['fair', 'least', 'honest']"
259,229,Race,Malaysian,We don't recognize Malaysia either.,1,"['recognize', 'malaysia', 'either']"
260,230,Race,Foreigner,Israel?,1,[]
261,230,Race,Foreigner,I have never heard of a country called Israel..but always heard of Palestine..you do not deserve to be in anywhere,1,"['never', 'hear', 'country', 'call', 'always', 'hear', 'deserve', 'anywhere']"
262,234,Race,Foreigner,"We are not anti semitic, but we hate what Israel do to Palestine.",0,"['septic', 'hate']"
263,235,Race,Chinese,"Chinese control the media, Chinese are all rich and powerful, Chinese rule the world.",1,"['chinese', 'control', 'medium', 'chinese', 'rich', 'powerful', 'chinese', 'rule', 'world']"
264,235,Race,Chinese,We Malays need to do everything necessary to stop this.,1,"['always', 'need', 'necessary', 'stop']"
265,236,Religion,Unknown,people getting offended over demolition of papers that have no meaning except for that they have been used to torment people for centuries is why this needs to be done,1,"['people', 'offend', 'desolation', 'paper', 'mean', 'use', 'torment', 'people', 'century', 'need', 'do']"
266,237,Religion,Islam,"We Muslims do not support terrorism, we believe in Peace.",0,"['negate', 'terrorist', 'believe', 'peace']"
267,237,Religion,Islam,We respect all the Religions this.,0,"['respect', 'religion']"
268,237,Religion,Islam,Peace.,0,['peace']
269,238,Religion,Christianity,You too will be cut into pieces like this now,1,"['cut', 'piece']"
270,240,Religion,Islam,Can you use it for rolling papers?,1,"['use', 'rolling', 'paper']"
271,241,Religion,Islam,Hey man.. its not fun you will get punished by Allah..,0,"['key', 'man', 'fun', 'punish']"
272,242,Religion,Islam,A lot of the same people dismissing the objection and condemnation of looting and destruction of businesses are often very sympathetic to the outrage that happens when somebody desecrates a Koran or draws a picture of a Prophet Muhammad with a bomb on his head.,0,"['lot', 'people', 'discuss', 'objection', 'condemnation', 'loot', 'destruction', 'business', 'often', 'sympathetic', 'outrage', 'happen', 'desecrate', 'draw', 'picture', 'prophet', 'bomb', 'head']"
273,243,Religion,Islam,What did you gain by doing this?,0,['gain']
274,243,Religion,Islam,This irrational move might get fanatics after your head.,0,"['irrational', 'move', 'get', 'lunatic', 'head']"
275,243,Religion,Islam,Stay Safe.,0,"['stay', 'safe']"
276,245,Race,Foreigner,you're not welcome here..go travel another country,1,"['go', 'travel', 'country']"
277,246,Race,Malay,anything malay / muslim is hated so much in Malaysia!,0,"['hate', 'much', 'malaysia']"
278,247,Race,Foreigner,"nobody can eliminate Jews, history tells.",0,"['eliminate', 'news', 'history', 'tell']"
279,247,Race,Foreigner,"Even till today, they are surrounded by all the Arab countries, they still can't eliminate the Jews.",0,"['even', 'today', 'surround', 'arab', 'country', 'still', 'eliminate', 'news']"
280,248,Race,Foreigner,We don't hate anyone in Israel.,0,['hate']
281,248,Race,Foreigner,"Its just the war situation there and until Israel signs a peace treaty, Malaysia can't recognize Israel as a country.",0,"['war', 'situation', 'sign', 'peace', 'treaty', 'malaysia', 'recognize', 'country']"
282,248,Race,Foreigner,"And since its not a country in our govt's eyes, well, you can't technically travel normally here.",0,"['country', 'get', 'eye', 'technically', 'travel', 'normally']"
283,248,Race,Foreigner,"However, you can request a letter or permission from our Home Affair Ministry.",0,"['however', 'request', 'letter']"
284,248,Race,Foreigner,"So no, no Israelis are ever banned or hated travelling here, its just how laws and politics work.",0,"['ever', 'banner', 'hate', 'travel', 'law', 'politic', 'work']"
285,248,Race,Foreigner,"So.....yeah, inform yourself better.",0,"['inform', 'well']"
286,249,Race,Indian,We do not allow killers and thief here .,1,"['allow', 'tiller', 'thief']"
287,250,Race,Foreigner,As a Malaysian I do feel sorry for you and a little ashamed about my Government.,0,"['feel', 'sorry', 'little', 'ashamed', 'government']"
288,250,Race,Foreigner,But maybe they have their reason...,0,"['maybe', 'reason']"
289,250,Race,Foreigner,"I hope 1 day, all people from all different country from this world can come visit Malaysia...",0,"['hope', 'day', 'people', 'different', 'country', 'world', 'come', 'visit', 'malaysia']"
290,251,Race,Multiple,they are minority came from others country and become a our citizen.. and just say whatever they want.. and want all this country accept their bullshit opinion..,1,"['minority', 'come', 'other', 'country', 'become', 'citizen', 'say', 'want', 'want', 'country', 'accept', 'bullshit', 'opinion']"
291,252,Race,Malay,It looks like a bunch of malay commentators here are the reason why we can't move forward and is proof of how the government has corrupted them.,0,"['look', 'bunch', 'malay', 'commentator', 'reason', 'move', 'forward', 'proof', 'government', 'corrupt']"
292,252,Race,Malay,The simple privileges they have stems from racism.,0,"['simple', 'privilege', 'stem', 'racism']"
293,254,Race,Malaysian,Well.. what to do?,0,[]
294,254,Race,Malaysian,We as Malaysians can't do much either.,0,"['malaysian', 'much', 'either']"
295,254,Race,Malaysian,"Unless the government changes, but then it'll still be a tough turn over.",0,"['government', 'change', 'still', 'tough', 'turn']"
296,254,Race,Malaysian,Currently with many old politicians.,0,"['currently', 'many', 'old', 'politician']"
297,254,Race,Malaysian,Very few new and young ones are emerging.,0,"['new', 'young', 'one', 'emerge']"
298,255,Race,Indian,if you don't like Malaysian laws go back to your own land,1,"['malaysian', 'law', 'go', 'back', 'land']"
