,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Topic_Probabilities,Topic,Representative_Docs
84,95,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'like', 'make', 'babies']","[2, 0.671987718601029]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
85,95,Race,Malay,Or else Malaysia gonna be next Japan.,0,"['else', 'malaysia', 'next', 'japan']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
86,97,Race,Malaysian,Malaysians pumping out babies without sufficient economic opportunities for them is just asking to become a destabilised failed state,0,"['malaysians', 'pumping', 'babies', 'without', 'sufficient', 'economic', 'opportunities', 'asking', 'become', 'destabilised', 'failed', 'state']","[2, 0.5990757395025794]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
87,98,Race,Malay,Bumi get access to housing discounts and bumi only affordable housing.,0,"['bumi', 'get', 'access', 'housing', 'discounts', 'bumi', 'affordable', 'housing']","[21, 1.0]","['bumi', 'access', 'bifoti', 'housing', 'easier', 'public', 'companies', 'education', 'get', 'really']","['get access business maybe personal unsure loans certain bumi programs', 'bumi get easier access cheaper tertiary education', 'bumi get access housing discounts bumi affordable housing']"
88,98,Race,Malay,They also get access to more business (and maybe personal but I'm not sure) loans through certain bumi only programs.,0,"['get', 'access', 'business', 'maybe', 'personal', 'unsure', 'loans', 'certain', 'bumi', 'programs']","[21, 1.0]","['bumi', 'access', 'bifoti', 'housing', 'easier', 'public', 'companies', 'education', 'get', 'really']","['get access business maybe personal unsure loans certain bumi programs', 'bumi get easier access cheaper tertiary education', 'bumi get access housing discounts bumi affordable housing']"
89,98,Race,Malay,They have top schools that feed into public unis (yes I know mrsm admits non-bumi but it's 90+% bumi).,0,"['top', 'schools', 'feed', 'public', 'unis', 'yes', 'know', 'mrsm', 'admits', 'nonbumi', 'bumi']","[21, 1.0]","['bumi', 'access', 'bifoti', 'housing', 'easier', 'public', 'companies', 'education', 'get', 'really']","['get access business maybe personal unsure loans certain bumi programs', 'bumi get easier access cheaper tertiary education', 'bumi get access housing discounts bumi affordable housing']"
90,98,Race,Malay,Pretty sure matriculation is quota based which makes it easier for bumi.,0,"['pretty', 'sure', 'matriculation', 'quota', 'based', 'makes', 'easier', 'bumi']","[21, 1.0]","['bumi', 'access', 'bifoti', 'housing', 'easier', 'public', 'companies', 'education', 'get', 'really']","['get access business maybe personal unsure loans certain bumi programs', 'bumi get easier access cheaper tertiary education', 'bumi get access housing discounts bumi affordable housing']"
91,98,Race,Malay,And that feeds into public uni as well.,0,"['feeds', 'public', 'uni', 'well']","[21, 0.852750896962434]","['bumi', 'access', 'bifoti', 'housing', 'easier', 'public', 'companies', 'education', 'get', 'really']","['get access business maybe personal unsure loans certain bumi programs', 'bumi get easier access cheaper tertiary education', 'bumi get access housing discounts bumi affordable housing']"
92,98,Race,Malay,So bumi basically get easier access to cheaper tertiary education.,0,"['bumi', 'get', 'easier', 'access', 'cheaper', 'tertiary', 'education']","[21, 1.0]","['bumi', 'access', 'bifoti', 'housing', 'easier', 'public', 'companies', 'education', 'get', 'really']","['get access business maybe personal unsure loans certain bumi programs', 'bumi get easier access cheaper tertiary education', 'bumi get access housing discounts bumi affordable housing']"
93,99,Religion,Buddhism,Bunch of bullshit from you.,0,"['bunch', 'bullshit']","[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
94,99,Religion,Buddhism,Fucker doesn't know of Buddhism talk bullshit.,0,"['fucker', 'ignore', 'buddhism', 'talk', 'bullshit']","[9, 1.0]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
95,106,Race,Foreigner,Get him deported..,1,"['get', 'deported']","[12, 0.6674454562520306]","['country', 'foreign', 'land', 'british', 'locals', 'workers', 'foreigners', 'want', 'continue', 'historian']","['locals want job think need foreign workers first place', 'since gained independence british continue serve country way', 'since gained independence british continue serve country way']"
96,106,Race,Foreigner,They only know how to poke poke..,1,"['know', 'poke', 'poke']","[4, 0.5022566467701188]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
97,107,Race,Indian,so trashy.,1,['trashy'],"[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
98,107,Race,Indian,and these are the majority of the Indians breeding these days,1,"['majority', 'indians', 'breeding', 'days']","[7, 1.0]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
99,108,Gender,Female,Tom should consider his wife a big bonus for her excellent job.,1,"['tom', 'consider', 'wife', 'big', 'bonus', 'excellent', 'job']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
100,108,Gender,Female,It is hard to find a loyal servant this day.,1,"['hard', 'find', 'loyal', 'servant', 'day']","[1, 0.8086406353452524]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
101,110,Religion,Islam,May the Allah protect me from vices.,0,"['may', 'allah', 'protect', 'vices']","[5, 0.82662000804642]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
102,112,Gender,Multiple,Smart man + smart woman = Romance.,1,"['smart', 'man', 'smart', 'woman', 'romance']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
103,112,Gender,Multiple,Smart man + dumb woman = Affair.,1,"['smart', 'man', 'dumb', 'woman', 'affair']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
104,112,Gender,Multiple,Smart woman + dumb man = Marriage.,1,"['smart', 'woman', 'dumb', 'man', 'marriage']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
105,112,Gender,Multiple,Dumb woman + Dumb man = Pregnancy.,1,"['dumb', 'woman', 'dumb', 'man', 'pregnancy']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
106,117,Race,Chinese,Happy Chinese New Year,0,"['happy', 'chinese', 'new', 'year']","[4, 0.5109231823639515]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
107,120,Race,Foreigner,What's next?,0,['next'],"[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
108,120,Race,Foreigner,"Gonna pull a Jirard move by mentioning dead Palestinian women & children to gain sympathy, and then threatening SPRM with a lawsuit?",0,"['pull', 'jirard', 'move', 'mentioning', 'dead', 'palestinian', 'women', 'children', 'gain', 'sympathy', 'threatening', 'sprm', 'lawsuit']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
109,121,Religion,Unknown,Religious = money,0,"['religious', 'money']","[6, 0.7926262863080479]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
110,123,Religion,Unknown,How is this guy not afraid of the punishment from God?,0,"['guy', 'unafraid', 'punishment', 'god']","[6, 0.39002021299969536]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
111,123,Religion,Unknown,Or has he decided that God doesn't exist and he can exploit others?,0,"['decided', 'god', 'exist', 'exploit', 'others']","[6, 0.39161163998626586]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
112,124,Religion,Islam,As long as don't eat pork and dont drink alcohol and all will be ok.,0,"['long', 'eat', 'pork', 'dont', 'drink', 'alcohol', 'ok']","[18, 0.6068624570352991]","['eat', 'halal', 'pork', 'dog', 'muslim', 'slaughter', 'alcohol', 'non', 'free', 'eating']","['muslim eat', 'long eat pork dont drink alcohol ok', 'radicalization islamisation muslim nons muslims odd eat table non muslims eat home cooked meal']"
113,125,Religion,Unknown,I can't fathom how come these greedy bastards has no fear for God,0,"['fathom', 'come', 'greedy', 'bastards', 'fearlessness', 'god']","[6, 0.42260114144546157]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
114,126,Race,Chinese,You sounded like a Zionist tool and your bias is clearly shown here.,1,"['sounded', 'like', 'zionist', 'tool', 'bias', 'clearly', 'shown']","[8, 0.9350106076510399]","['israel', 'zionist', 'jews', 'jew', 'semitic', 'pro', 'hate', 'palestine', 'history', 'zionism']","['pro semitic hate israel palestine', 'pro semitic love jews protest state israel odd exist', 'israel']"
115,128,Race,Malaysian,Wtf whats wrong with our country!,0,"['wtf', 'whats', 'wrong', 'country']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
116,131,Race,Malaysian,Our rakyat very good in arm chair criticism.,0,"['rakyat', 'good', 'arm', 'chair', 'criticism']","[13, 0.753277439429843]","['babi', 'parameswara', 'kering', 'pundek', 'word', 'diamlah', 'money', 'use', 'food', 'diam']","['babi haram religion', 'babi offensive word', 'use babi money buy food equaly feeding nonhalal food']"
117,132,Race,Indian,I love to see them try to fight Indians and lose.,0,"['love', 'see', 'try', 'fight', 'indians', 'lose']","[7, 0.6924144650543406]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
118,133,Race,Malay,Silat is a joke,1,"['silat', 'joke']","[2, 0.4811846803651343]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
119,134,Race,Malay,silat looks dumb as fuck haha,1,"['silat', 'looks', 'dumb', 'fuck', 'haha']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
120,135,Race,Malay,muay thai is superior than silat as in the competition wise,0,"['muay', 'thai', 'superior', 'silat', 'competition', 'wise']","[2, 0.5261139423516399]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
121,136,Religion,Unknown,Religion destroys pretty much everything it touches,1,"['religion', 'destroys', 'pretty', 'much', 'everything', 'touches']","[6, 0.8732512706040737]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
122,137,Race,Malay,"Jojo, a malaysian, who practices muay thai which is a thai martial arts, saying that silat, his country's own martial arts looks funny.",0,"['jojo', 'malaysian', 'practices', 'muay', 'thai', 'thai', 'martial', 'arts', 'saying', 'silat', 'country', 'martial', 'arts', 'looks', 'funny']","[2, 0.7425272022727155]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
123,138,Race,Malaysian,"All Malaysians are racists, but none will admit they are more racist than the other.",0,"['malaysians', 'racists', 'none', 'admit', 'racist']","[2, 0.9163326076603318]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
124,139,Race,Indian,Imagine being Indian cow,1,"['imagine', 'indian', 'cow']","[17, 1.0]","['cow', 'meat', 'hindus', 'stinky', 'cows', 'eat', 'hindu', 'holy', 'starving', 'cutting']","['hindus bunch cow kissers', 'hindu see cow holy', 'cow meat']"
