,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
135,145,Race,Malaysian,"I think some customs/cultural practices/social norms are honestly holding the whole population back, which is a shame because this country is so much more capable and has such a huge potential.",0,"['think', 'customs', 'cultural', 'practices', 'social', 'norms', 'honestly', 'holding', 'whole', 'population', 'back', 'shame', 'country', 'much', 'capable', 'huge', 'potential']","[230, 267, 462, 528, 386, 56, 1064, 944, 1068, 1884]"
136,146,Race,Malay,"Firstly, I will start with the Malay stereotype.",0,"['firstly', 'start', 'malay', 'stereotype']","[588, 199, 285, 156, 28, 381, 534, 3, 29, 60]"
137,146,Race,Malay,We are accused of being okay with cronyism and corruption.,0,"['accused', 'okay', 'cronyism', 'corruption']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
138,146,Race,Malay,Some accused us of relying on “tongkat” and being unable to compete fairly with non-Malays.,0,"['accused', 'relying', 'tongkat', 'unable', 'compete', 'fairly', 'nonmalays']","[303, 1076, 226, 221, 1209, 3016, 894, 503, 704, 167]"
139,146,Race,Malay,People also say we are too religious and conservative.,0,"['people', 'say', 'religious', 'conservative']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
140,147,Race,Chinese,the local Chinese care more about Jay Chou than Skuad Harimau.,0,"['local', 'chinese', 'care', 'jay', 'chou', 'skuad', 'harimau']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
141,148,Race,Malay,Malays are a majority of civil service staff.,0,"['malays', 'majority', 'civil', 'service', 'staff']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
142,148,Race,Malay,"For this, we are also accused of caring only for a government that gives handouts.",0,"['accused', 'caring', 'government', 'gives', 'handouts']","[146, 873, 533, 1759, 176, 192, 2938, 84, 2355, 2357]"
143,153,Race,Malay,Are the Malays so low on integrity that they can't decide for themselves?,0,"['malays', 'low', 'integrity', 'decide']","[698, 367, 688, 283, 57, 1414, 1550, 474, 284, 2881]"
144,153,Race,Malay,"How long are they gonna continue diperbodohkan oleh all these racist ideals brought on by politicians , the media etc.",0,"['long', 'continue', 'diperbodohkan', 'oleh', 'racist', 'ideals', 'brought', 'politicians', 'media']","[2038, 1438, 775, 205, 211, 2082, 2083, 1454, 2233, 349]"
145,154,Race,Chinese,"you don't care about our football, go back to your own country",1,"['care', 'football', 'go', 'back', 'country']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
146,155,Gender,Female,"newsflash , nobody fckn cares about woman",1,"['newsflash', 'nobody', 'fckn', 'cares', 'woman']","[283, 327, 472, 131, 325, 29, 624, 326, 324, 143]"
147,156,Religion,Islam,"his country is literally heading to a hopeless path , no wonder people are leaving due to all these islamic supremacist shits becoming more prominent than ever.",0,"['country', 'literally', 'heading', 'hopeless', 'path', 'wonder', 'people', 'leaving', 'due', 'islamic', 'supremacist', 'shits', 'becoming', 'prominent']","[1669, 889, 74, 572, 256, 1372, 1371, 1373, 423, 571]"
148,158,Race,Multiple,"Holy shit this country really is full of racial and religious fanatics, if you're not malay, you're no.1 goal HAS to be leaving this country 1st.",0,"['holy', 'shit', 'country', 'really', 'full', 'racial', 'religious', 'fanatics', 'malay', 'goal', 'leaving', 'country', 'st']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
149,159,Race,Multiple,"Non-Malays happy to criticise the civil service but not want to join them, how do you expect change to happen?",1,"['nonmalays', 'happy', 'criticise', 'civil', 'service', 'want', 'join', 'expect', 'change', 'happen']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
150,159,Race,Multiple,"Be the change you want to see, but yet I see many of you preferring to go to the private sector instead of yourselves serving the rakyat.",1,"['change', 'want', 'see', 'see', 'many', 'preferring', 'go', 'private', 'sector', 'serving', 'rakyat']","[452, 451, 1312, 591, 588, 28, 432, 1062, 27, 41]"
151,159,Race,Multiple,So of course the Malays will work in the government.,1,"['course', 'malays', 'work', 'government']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
152,159,Race,Multiple,"We always have since before we gained independence from the British, and still continue to serve the country that way.",1,"['since', 'gained', 'independence', 'british', 'continue', 'serve', 'country', 'way']","[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
153,160,Race,Unknown,"you don't speak my language, then do not bother, you will not get the job",1,"['speak', 'language', 'bother', 'take_away', 'job']","[601, 392, 128, 217, 1708, 2528, 820, 836, 1826, 587]"
154,161,Race,Multiple,So of course only the Malays should work in the government.,1,"['course', 'malays', 'work', 'government']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
155,161,Race,Multiple,"We always have since before we gained independence from the British, and still continue to serve the country that way.",1,"['since', 'gained', 'independence', 'british', 'continue', 'serve', 'country', 'way']","[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
156,162,Race,Multiple,Don't call yourself Malaysian if you cannot speak Bahasa Malaysia,1,"['put_option', 'malaysian', 'speak', 'bahasa', 'malaysia']","[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
157,163,Religion,Christianity,these Christians will usually not want to mix with others.,1,"['christians', 'usually', 'want', 'mix', 'others']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
158,164,Race,Chinese,I don't like this chinese.,0,"['unalike', 'chinese']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
159,164,Race,Chinese,He is a banana.,0,['banana'],"[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
160,165,Race,Malay,"If the person wears a tudung, the hiring manager assumes they will get pregnant every year or is too conservative and cannot do work.",0,"['person', 'wears', 'tudung', 'hiring', 'manager', 'assumes', 'get', 'pregnant', 'every', 'year', 'conservative', 'unmake', 'work']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
161,165,Race,Malay,Or is lazy and will steal company time to pray too much.,0,"['lazy', 'steal', 'company', 'time', 'pray', 'much']","[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
162,166,Race,Malay,These stereotypes are unfair.,0,"['stereotypes', 'unfair']","[583, 388, 239, 1910, 3, 1878, 24, 75, 860, 2257]"
163,166,Race,Malay,"We Malays want to improve the economy and our livelihood, we want to work hard at our jobs.",0,"['malays', 'want', 'improve', 'economy', 'livelihood', 'want', 'work', 'hard', 'jobs']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
164,166,Race,Malay,"But already at hiring, these assumptions stop our fair chance.",0,"['hiring', 'assumptions', 'stop', 'fair', 'chance']","[307, 1565, 2064, 20, 127, 561, 234, 367, 1934, 1100]"
165,166,Race,Malay,"Why do you think Malays prefer to set up their own SMEs, join GLC or go work in civil service?",0,"['think', 'malays', 'prefer', 'set', 'smes', 'join', 'glc', 'go', 'work', 'civil', 'service']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
166,167,Race,Indian,Indians will always trash your place.,1,"['indians', 'trash', 'place']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
167,167,Race,Indian,You sure you want to rent it to them?,1,"['sure', 'want', 'rent']","[610, 942, 588, 204, 1062, 375, 2060, 57, 234, 902]"
168,170,Race,Malaysian,"Basically all malaysians are racist, this is a fact.",0,"['malaysians', 'racist', 'fact']","[283, 327, 472, 131, 325, 29, 624, 326, 324, 143]"
169,170,Race,Malaysian,"Its just depends how racist u are, and in what way.",0,"['depends', 'racist', 'way']","[283, 327, 472, 131, 325, 29, 624, 326, 324, 143]"
170,170,Race,Malaysian,"As long as not at retard level, u are normal.",0,"['long', 'retard', 'level', 'normal']","[452, 451, 1312, 591, 588, 28, 432, 1062, 27, 41]"
171,171,Race,Indian,This is Indian culture.,0,"['indian', 'culture']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
172,172,Race,Malaysian,We Malaysians hate every single race equally lol,0,"['malaysians', 'hate', 'every', 'single', 'race', 'equally']","[1064, 19, 316, 2311, 1990, 136, 87, 28, 1379, 1224]"
173,173,Race,Multiple,"While many generals were sympathetic and caring towards everyone under their care, the little Napoleons in the ministry of defence – the civil servants with authority – made policies pertaining to promotion and enforced an unwritten regulation and a quota system regarding non-Malays.",0,"['many', 'generals', 'sympathetic', 'caring', 'towards', 'everyone', 'care', 'little', 'napoleons', 'ministry', 'defence', 'civil', 'servants', 'authority', 'made', 'policies', 'pertaining', 'promotion', 'enforced', 'unwritten', 'regulation', 'quota', 'system', 'regarding', 'nonmalays']","[1623, 3, 136, 2644, 2050, 715, 1197, 139, 1250, 2145]"
174,174,Race,Multiple,politicians were also to blame for outrageous statements questioning the loyalty of non-Malays,0,"['politicians', 'blame', 'outrageous', 'statements', 'questioning', 'loyalty', 'nonmalays']","[487, 495, 1602, 1869, 1399, 1407, 139, 469, 146, 540]"
175,175,Race,Multiple,"Patriotism regarding non-Malays, in particular the Chinese and Indians, in the military has never been an issue.",0,"['patriotism', 'regarding', 'nonmalays', 'particular', 'chinese', 'indians', 'military', 'differ', 'issue']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
176,176,Race,Multiple,non-Malay officers and men fought gallantly alongside their Malay brothers-in-arms.,0,"['nonmalay', 'officers', 'men', 'fought', 'gallantly', 'alongside', 'malay', 'brothersinarms']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
177,177,Race,Multiple,I strive to encourage more non-Malays to join the Armed Forces,0,"['strive', 'encourage', 'nonmalays', 'join', 'armed', 'forces']","[487, 495, 1602, 1869, 1399, 1407, 139, 469, 146, 540]"
178,178,Race,Malay,Malays have Bumiputera policies yet they complains that other races are racists.,0,"['malays', 'bumiputera', 'policies', 'complains', 'races', 'racists']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
179,179,Race,Multiple,Nons dont want to join civil servise because of the continual discrimination and institunalised islamisation.,0,"['nons', 'dont', 'want', 'join', 'civil', 'servise', 'continual', 'discrimination', 'institunalised', 'islamisation']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
180,179,Race,Multiple,"Look at when our country independence, there were many non Malays hired by British.",0,"['look', 'country', 'independence', 'many', 'non', 'malays', 'hired', 'british']","[635, 1102, 1180, 3010, 2292, 378, 20, 136, 682, 3]"
181,179,Race,Multiple,"But after independence, orang kito hire orang kito.",0,"['independence', 'orang', 'kito', 'hire', 'orang', 'kito']","[545, 29, 3, 531, 629, 234, 158, 793, 684, 685]"
182,179,Race,Multiple,"And because of radicalization and islamisation, muslim and nons muslims cant even eat on the same table when non muslims eat their home cooked meal.",0,"['radicalization', 'islamisation', 'muslim', 'nons', 'muslims', 'odd', 'eat', 'table', 'non', 'muslims', 'eat', 'home', 'cooked', 'meal']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
183,179,Race,Multiple,Who caused this?,0,['caused'],"[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
184,180,Religion,Islam,Your only asking non-muslims accommodate your people.,0,"['asking', 'nonmuslims', 'accommodate', 'people']","[2069, 344, 950, 341, 1062, 29, 242, 2240, 2966, 234]"
185,180,Religion,Islam,Have u tried to accommodating the non-muslims?,0,"['tried', 'accommodating', 'nonmuslims']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
186,181,Religion,Multiple,Non-Muslims are not allowed to pray in this surau room.,0,"['nonmuslims', 'forbid', 'pray', 'surau', 'room']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
187,182,Religion,Buddhism,This house doesn't welcome Buddhists.,1,"['house', 'unwelcome', 'buddhists']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
188,182,Religion,Buddhism,Go away.,1,"['go', 'away']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
189,183,Race,Chinese,"the money your use is earned by your chinese parents, so that money itself got babi essence in it.",1,"['money', 'use', 'earned', 'chinese', 'parents', 'money', 'got', 'babi', 'essence']","[487, 495, 1602, 1869, 1399, 1407, 139, 469, 146, 540]"
190,183,Race,Chinese,"If I use that babi money to buy food, its equaly to feeding me nonhalal food",1,"['use', 'babi', 'money', 'buy', 'food', 'equaly', 'feeding', 'nonhalal', 'food']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
191,184,Race,Multiple,All race matters.,0,"['race', 'matters']","[283, 327, 472, 131, 325, 29, 624, 326, 324, 143]"
192,185,Race,Multiple,"Black lives matter... Rohingya lives matter... Pendatang lives matter, Cinis India lives matter...",0,"['black', 'lives', 'matter', 'rohingya', 'lives', 'matter', 'pendatang', 'lives', 'matter', 'cinis', 'india', 'lives', 'matter']","[37, 2989, 902, 714, 716, 715, 0, 495, 2899, 2383]"
193,186,Race,Malay,Always complain complain complain that they are ditindas but who always says others are pendatang?,0,"['complain', 'complain', 'complain', 'ditindas', 'says', 'others', 'pendatang']","[1481, 717, 244, 1829, 371, 1168, 1495, 44, 1484, 1485]"
194,186,Race,Malay,Who always provoke others and defended themselves by saying they are very sabar and bertolak ansur but always ask others jangan kurang ajar and hormat their “keistimewaan”?!,0,"['provoke', 'others', 'defended', 'saying', 'sabar', 'bertolak', 'ansur', 'ask', 'others', 'jangan', 'kurang', 'ajar', 'hormat', 'keistimewaan']","[487, 495, 1602, 1869, 1399, 1407, 139, 469, 146, 540]"
195,186,Race,Malay,Please remember every human has their own human rights and no one is above anyone.,0,"['remember', 'every', 'human', 'human', 'rights', 'one', 'anyone']","[731, 107, 853, 1053, 230, 906, 854, 1441, 1702, 206]"
196,186,Race,Malay,Such narrow minded.,0,"['narrow', 'minded']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
197,186,Race,Malay,"Actually others don't give a goddam f*, it's just your own insecurity if you always feel being threatened.",0,"['others', 'take', 'goddam', 'f', 'insecurity', 'feel', 'threatened']","[1623, 3, 136, 2644, 2050, 715, 1197, 139, 1250, 2145]"
198,186,Race,Malay,Don't listen to too much bulls* and please broaden your mindset.,0,"['listen', 'much', 'bulls', 'broaden', 'mindset']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
199,186,Race,Malay,Go visit countries after covid and read more books.,0,"['go', 'visit', 'countries', 'covid', 'read', 'books']","[29, 1023, 2889, 17, 130, 3, 242, 1147, 1697, 1324]"
200,187,Race,Multiple,the civil service was multicultural before NEP.,0,"['civil', 'service', 'multicultural', 'nep']","[112, 2588, 575, 968, 331, 30, 128, 517, 551, 550]"
201,187,Race,Multiple,so dont say other race dont wanna join civil services.,0,"['dont', 'say', 'race', 'dont', 'wan', 'join', 'civil', 'services']","[899, 568, 4, 20, 429, 388, 307, 204, 2198, 1871]"
202,188,Race,Malay,Agree.,0,['agree'],"[1842, 29, 499, 1306, 470, 496, 192, 498, 497, 327]"
203,188,Race,Malay,"I have team lead and colleagues who are Malay, and they are brilliant.",0,"['team', 'lead', 'colleagues', 'malay', 'brilliant']","[1842, 29, 499, 1306, 470, 496, 192, 498, 497, 327]"
204,188,Race,Malay,"But they are not average bumi, they went to oversea to study, speak English more than they speak Malay, they willing to share their religious thoughts with us, ppl can agree to disagree.",0,"['average', 'bumi', 'went', 'oversea', 'study', 'speak', 'english', 'speak', 'malay', 'willing', 'share', 'religious', 'thoughts', 'ppl', 'agree', 'disagree']","[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
205,188,Race,Malay,"Unlike some (you find many in mkini Facebook) , their religion is ultimate, and superior to the rest, i am taught to learn and question, i don't know about them lah...",0,"['unlike', 'find', 'many', 'mkini', 'facebook', 'religion', 'ultimate', 'superior', 'rest', 'taught', 'learn', 'question', 'ignore', 'lah']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
206,189,Race,Malay,I will kill you stupid pig in 3 days.,1,"['kill', 'stupid', 'pig', 'days']","[307, 1570, 773, 28, 860, 1972, 1626, 1265, 1153, 190]"
207,190,Race,Chinese,You are not a pure Chinese you mixed bitch,1,"['pure', 'chinese', 'mixed', 'bitch']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
208,192,Race,Malay,majority malays are in private sectors.,0,"['majority', 'malays', 'private', 'sectors']","[698, 367, 688, 283, 57, 1414, 1550, 474, 284, 2881]"
209,193,Race,Malay,"I think there is a lot of misconception about ""only Chinese / mandarin requirement""....Obviously there is a purpose for hiring such ppl because of the company background that people don't see in dealing with some Chinese ppl like China, HK and etc that only read/speak in Chinese, It also part of the process for the company to run smoothly in the deal, If a Malay is capable in speaking or writing Chinese then I think the company will not have a problem hiring them...same goes for company that hires ""only Japanese requirement"" or sort of other language too",0,"['think', 'lot', 'misconception', 'chinese', 'mandarin', 'requirement', 'obviously', 'purpose', 'hiring', 'ppl', 'company', 'background', 'people', 'see', 'dealing', 'chinese', 'ppl', 'like', 'china', 'hk', 'read', 'speak', 'chinese', 'part', 'process', 'company', 'run', 'smoothly', 'deal', 'malay', 'capable', 'speaking', 'writing', 'chinese', 'think', 'company', 'lack', 'problem', 'hiring', 'goes', 'company', 'hires', 'japanese', 'requirement', 'sort', 'language']","[0, 149, 1670, 760, 615, 530, 96, 796, 2989, 792]"
210,194,Race,Multiple,Not able to speak fluent Melayu doesn't them less Malaysian than others,0,"['unable', 'speak', 'fluent', 'melayu', 'less', 'malaysian', 'others']","[161, 395, 1467, 95, 1144, 22, 1291, 228, 459, 467]"
211,196,Race,Chinese,"I overheard something about PAS needs to be in power in order to topple some sort of secret syndicate granting citizenship to Chinese people from China, which operates in Pulau Pinang lol.",0,"['overheard', 'something', 'pas', 'needs', 'power', 'order', 'topple', 'sort', 'secret', 'syndicate', 'granting', 'citizenship', 'chinese', 'people', 'china', 'operates', 'pulau', 'pinang']","[37, 2989, 902, 714, 716, 715, 0, 495, 2899, 2383]"
